Z,N,Skyrme,Skyrme_sd,UNEDF,UNEDF_sd,Gogny,Gogny_sd,Astro,Astro_sd
47,58,896.7265830000001,1.3324911732288267,898.9800673333333,0.5237071972393693,894.7467194999999,2.34305700932446,897.6843630000001,0.14759157000991222
47,59,904.1076360000001,1.2875386745111663,906.4373160000001,0.47548110302302704,902.3214614999999,2.852438349714932,905.4000219999999,0.04239529417286061
47,60,913.73633225,1.3865463500598516,915.7883766666667,0.3923142781729057,911.9912265,2.5903520496952073,915.170681,0.34037433440551185
47,61,920.7036800000001,1.2809402608195997,922.802902,0.41631962101374137,919.0441020000001,3.010430753369345,922.5463400000001,0.03725038523299435
47,62,929.9883175,1.320361717564446,931.762466,0.33252076746728026,928.355238,2.7569400433818876,931.8569990000001,0.3634514713163337
47,63,936.590956,1.1926770982130597,938.4296250000001,0.3690420778813543,935.0101735000001,3.1266529452454153,938.7076575,0.23710351033359325
47,64,945.55267325,1.2117234610642018,947.0460436666667,0.29794120321016593,944.0192915,2.9297166356174027,947.5683165,0.365314697684799
47,65,951.85482525,1.0900646827334877,953.4011126666668,0.2989933277086895,950.263625,3.2237408276226533,954.0939754999999,0.31674918973928745
47,66,960.52134275,1.1042496368742223,961.6977993333334,0.22941042178886603,958.919801,2.9499816088592303,962.4696345,0.32475222428872863
47,67,966.47448325,1.1148125431806455,967.6851780000001,0.28748152518720516,964.70769,3.210102152027236,968.6202934999999,0.09941002104666061
47,68,974.781178,1.2344960898950508,975.6204803333334,0.31081228130879535,973.196193,3.0071851332436936,976.6509525,0.17105266590299398
47,69,980.38055475,1.4368207576364098,981.242092,0.49741829360317086,978.750555,3.3635627083209703,982.4816115000001,0.05884754765067065
47,70,988.333966,1.633709938109545,988.8051996666667,0.654388006954794,986.7742734999999,3.0163923706415097,989.9972705,0.2365562096848897
47,71,993.7152165,1.8043257013112082,994.1147236666666,0.908111596868076,991.75065,3.6554903287204725,995.1379294999999,0.045354536052050705
47,72,1001.42979775,1.8918194586845465,1001.3541323333334,1.1099444030492633,999.7882715000001,3.270955054509353,1002.4485884999999,0.45055217751606647
47,73,1006.6017855,2.0043835625988855,1006.4070930000001,1.358751593752526,1004.7049625,3.430072465052687,1007.464247,0.35955955559262126
47,74,1014.04238275,2.024809307327201,1013.3649356666666,1.499200535869832,1012.5082585,3.07588833521066,1014.3699059999999,0.3251361832709082
47,75,1019.0414544999999,2.1923380765757576,1018.290433,1.6043012292188166,1017.2504435000001,3.2071924076227645,1019.0755650000001,0.0927229122170615
47,76,1026.2210037500001,2.305668396564187,1025.0511750000003,1.550564078144772,1024.669727,2.8175716214414894,1025.606224,0.0512284720834894
47,77,1031.091163,2.5338473364440275,1029.77411,1.6136203973145071,1029.2195405,2.929080239514334,1030.251883,0.06804771398061259
47,78,1038.03721425,2.7487236059263553,1036.226048,1.5080574495321257,1036.286901,2.5125003001935973,1036.742542,0.2015848296078544
47,79,1042.828249,3.1517815264920754,1040.8260056666666,1.467495779902007,1040.626092,2.6135699008556927,1041.263201,0.03281116886057833
47,80,1049.60441025,3.5621406840238157,1047.074303,1.321871922952801,1047.365716,2.1845922583402815,1047.45386,0.04788527122179819
47,81,1053.5880674999999,4.091619051801799,1050.9029933333334,1.2932788411542897,1051.4738145000001,2.2893876046324477,1051.9895190000002,0.3245888826224458
47,82,1059.7579499999997,4.627258056948257,1056.5762033333333,1.2272167510298393,1057.899275,1.8627837195813548,1057.5801780000002,0.0002517300142707411
47,83,1061.4384837500002,4.943425600384735,1058.3637436666668,1.4391748973825955,1059.0482995,2.159552900111476,1059.6158365000001,0.23452822743642196
47,84,1065.0627235,5.241340506624049,1061.7713733333333,1.641568335165094,1061.6619560000001,2.253252326793463,1062.4814955,0.1393063998547664
47,85,1066.52312125,5.703941068685771,1063.4155543333334,1.8012338824206808,1062.57882,2.5241831184322874,1064.0171544999998,0.2788185677829013
47,86,1069.480559,6.076539369837067,1066.265276,1.9798032708041526,1065.1286264999999,2.754761447388845,1066.8728135000001,0.5979485860543816
47,87,1070.7337585,6.567611052407233,1067.72785,2.103928412649302,1066.0061205000002,3.3361361575991184,1067.8734725,0.6413069596631984
47,88,1073.583001,6.968232286958522,1070.4660626666666,2.234458675566031,1068.4690355000002,3.6636581191497553,1070.0741315,0.40182262079749265
47,89,1074.4571415,7.46540067288433,1071.6793193333333,2.362156510835901,1069.0368170000002,4.389952242843991,1071.0497905000002,0.9048004021774689
47,90,1077.06085225,7.873658962944251,1074.2345480000001,2.4947497809682018,1071.3219909999998,4.651636906211891,1073.4504495,0.9340166401625676
47,91,1077.5636435000001,8.276156281854284,1075.227791,2.5803193831134847,1071.6162755,5.441932678884555,1074.2711085,1.1612227768797196
47,92,1079.8988132499999,8.591303170395264,1077.6207573333334,2.671341545306723,1073.955592,5.373561817105033,1076.5167675,1.508637066398797
47,93,1080.07151075,8.884919006608316,1078.2326540000001,2.794815414407779,1074.1578894999998,5.830243196200303,1077.272426,1.7004871569501152
47,94,1082.1672492500002,9.101286436136554,1080.33206,2.9189893487925294,1076.2894465,5.9049532702733165,1079.2330849999998,1.7721298018062075
47,95,1082.17649475,9.465207238625421,1080.5248256666666,3.154957621363573,1076.3008399999999,6.30014888631754,1079.923744,1.4902190560693476
47,96,1084.2168657500001,9.777568696654503,1082.3100173333335,3.379097097655824,1078.2688845,6.40544344999725,1081.8694030000001,1.5265063618663053
47,97,1084.2270475,10.170544731493505,1082.267632,3.7116612181812023,1078.2824765,6.53587778106844,1082.210062,1.2870220230004388
47,98,1086.31362875,10.535067958154464,1083.9103043333334,4.012985001806189,1080.246593,6.561202810436606,1084.230721,1.7263601940736835
47,99,1086.2087092499999,10.962941648975242,1083.9281263333332,4.155951203298077,1080.1676265,6.837284874976311,1084.4163800000001,1.267672753040026
47,100,1088.17912725,11.364101574174637,1085.6771656666667,4.274577201712794,1081.9018015,6.805383045436294,1086.172039,1.8130769412911565
47,101,1087.8756182500001,11.800466577190717,1085.5929343333335,4.3707992042651105,1081.7294655,7.205410322116304,1086.037698,1.4958108564950012
47,102,1089.6506725,12.20875444860311,1087.2574276666667,4.473006943399936,1083.0913245000002,7.132349221057035,1087.373357,1.5886667047868315
47,103,1089.19020675,12.658744690859645,1087.041491,4.588779871870174,1082.524348,7.421903083991978,1087.1690155000001,1.5966690322294932
47,104,1090.805438,13.090203282013093,1088.5977363333334,4.717413105141093,1083.764404,7.415797924043032,1088.2096745,1.5834588633434377
47,105,1090.2279595,13.542456567356977,1088.2972606666667,4.85281527330442,1083.144534,7.795221523332917,1087.9803335000001,1.9096599494266162
47,106,1091.73751025,13.978114859365036,1089.7650596666665,5.015463065496977,1084.3286790000002,7.899095509489192,1088.9359924999999,2.0732264758371977
47,107,1091.03591525,14.423435824052182,1089.3691856666667,5.186986723046277,1083.522892,8.17195104578637,1088.5316515,2.420640765356275
47,108,1092.439337,14.844366678469873,1090.717533,5.395897248884333,1084.6377564999998,8.2295526712886,1089.1523105,2.2377249689854413
47,109,1091.60109275,15.281120047823348,1090.184876666667,5.62499963624329,1083.7318265,8.49881044828302,1088.6429695000002,2.3376518850891306
48,42,697.9732025000001,1.7793983238833655,699.714082,0.5226359928171664,695.2536395,2.1080076441902524,694.428312,0.3700827187102797
48,43,713.232471,1.6764899225769665,715.3681500000001,0.5607209422047247,710.5989545,2.1198941091819727,710.3089709999999,0.012686909868092773
48,44,730.5787077499999,1.6982700908696404,732.7571186666665,0.6210051878449173,728.294176,1.4652822283239575,728.8596299999999,0.12780247963174712
48,45,745.371276,1.5765839519815974,747.9533933333333,0.6380106988541613,743.0134465,1.4951553685086474,743.7752889999999,0.1763679875770979
48,46,762.1839022500001,1.6072784324518237,764.8259316666666,0.7377131051406809,759.9805174999999,0.8702200521502464,761.685948,0.10472534272084491
