Z,N,BE,BE_sd
22,37,486.737904,3.0083131156396288
22,38,491.9191772727272,3.078547112200449
22,39,493.94616390909084,3.199094296014153
22,40,498.6442985454545,3.301469714275338
22,41,499.68365581818193,3.575068668583826
22,42,503.4289462727273,3.8473969817423064
22,43,504.1549295454546,4.048237539699457
22,44,507.45924536363634,4.314662088143263
22,45,507.9579442727272,4.652726996486624
22,46,511.0031281818181,5.010671321098981
22,47,511.1605630909091,5.330370272197798
22,48,513.6857506363638,5.683610692166274
22,49,513.4366122727272,5.987380760846412
22,50,515.498242,6.352843258318703
22,51,514.768238,6.551337996013232
22,52,516.0212690909092,6.877375593091763
22,53,515.1331496363636,7.067537898107184
22,54,516.029725,7.38474651109039
22,55,515.0739450909091,7.663695231807332
22,56,515.8576320000001,8.071271987559845
22,57,514.7037257272727,8.337268894894157
22,58,515.1130728181818,8.795705718837457
23,13,213.04376018181813,4.486413491184057
23,14,237.28869345454544,4.285600147270314
23,15,256.5306409090909,4.042637941887891
23,16,278.72680163636363,3.340165836570815
23,17,295.8979292727273,2.721424746689478
23,18,315.53991372727273,2.4317377173074495
23,19,331.17526845454546,1.7908825177045178
23,20,349.4597988181818,1.4965089649428003
23,21,361.84017554545454,1.2256599370541832
23,22,377.00688090909085,1.4022385432398836
23,23,388.65373045454544,1.1255166179091554
23,24,402.6828304545455,1.244127722554422
23,25,412.8257100909091,1.081062791119033
23,26,425.3157542727273,1.3518328174409708
23,27,434.1744048181818,1.4824465743124726
23,28,445.6065807272728,1.5658187364667704
23,29,452.856399090909,1.6266500601672267
23,30,462.1782848181818,1.9787810496657816
23,31,468.0337703636364,2.1991663418546556
23,32,476.041827,2.5680660418237267
23,33,480.6225045454545,2.4992612904995815
23,34,487.4513436363637,2.6166639180480358
23,35,491.2212094545455,2.6484685206856
23,36,497.3403017272727,2.7401574250633622
23,37,500.7104590909091,2.8270591743613203
23,38,506.4686871818181,2.9575067363262995
23,39,509.27136727272733,3.0925343392628957
23,40,514.537230090909,3.230820322181633
23,41,516.3686415454545,3.4567499176627132
23,42,520.7910071818183,3.684586297753082
23,43,522.3221699090908,3.8930356067288945
23,44,526.2957906363637,4.109750902418502
23,45,527.6544318181818,4.368713262330564
23,46,531.1285219090909,4.717292623691979
23,47,531.9116101818182,4.977597071144533
23,48,534.6854858181819,5.370501223466384
23,49,534.9915077272727,5.622048323457911
23,50,537.4069411818181,5.967433866096213
23,51,537.1007250909091,6.185686607724567
23,52,538.6563136363636,6.559773135679984
23,53,538.1249166363637,6.750091863237965
23,54,539.2827532727272,7.070823821996318
23,55,538.6004610909091,7.29661862778388
23,56,539.533571,7.6977400358490105
23,57,538.6424958181818,7.93094629670646
23,58,539.230930090909,8.41778434936835
23,59,537.8873853636364,8.65464226487191
24,14,235.3732110909091,4.458058530897651
24,15,255.63324536363632,3.8031346555351813
24,16,278.4553194545454,3.459063650771089
24,17,296.36190636363636,2.903180423849331
24,18,316.91770127272724,2.494563673156416
24,19,333.3550082727273,1.9847007407161978
24,20,352.6474702727273,1.6187613524815287
24,21,365.8339249090909,1.3462032389229643
24,22,382.027808,1.3617637130081666
24,23,394.8402431818182,1.1139542790516894
24,24,410.27876481818186,1.61844007276685
24,25,421.1249619090909,1.1808083954400546
24,26,434.50839381818173,1.6268337552437713
24,27,443.927561090909,1.4394970682014996
24,28,455.9610526363636,1.6586196472439512
24,29,463.81897781818174,1.5835326176424462
24,30,473.82300045454537,1.8535992646009358
24,31,480.2871867272727,1.954799146976703
24,32,489.0500878181818,2.286325319858123
24,33,494.2679236363636,2.1843442115390337
24,34,501.82437618181814,2.269811034444261
24,35,506.1608246363636,2.277902396149993
24,36,512.9694651818182,2.380143021537635
24,37,516.9210702727273,2.497641215247589
24,38,523.4139678181817,2.6294071914682196
24,39,526.8341587272727,2.7806347108281892
24,40,532.7782350000001,2.9059819014790857
24,41,535.2527462727273,3.134214317009256
24,42,540.3141484545455,3.3221294709497147
24,43,542.5012774545456,3.5547390268489805
24,44,547.1994533636364,3.7581916954558663
24,45,549.0825169090908,3.9450417856089857
24,46,553.2125916363636,4.229885583140482
24,47,554.3906263636364,4.459862954725713
24,48,557.7682206363636,4.799465101491701
24,49,558.4850224545454,5.049769974697874
24,50,561.3877635454545,5.353697154714006
24,51,561.3719207272727,5.606534737136488
24,52,563.2924722727274,5.991759678472045
24,53,562.9871707272728,6.19741623652588
24,54,564.4569783636364,6.511595131582636
24,55,563.9997227272727,6.711437734056593
24,56,565.1891235454545,7.054180708903235
24,57,564.4809029090909,7.288198022482393
24,58,565.3818970909091,7.692473715002465
24,59,564.170270090909,7.955251176303681
24,60,564.5603096363637,8.384090577138386
24,61,562.901773,8.533250934977776
25,15,250.71193381818185,3.954030436117555
25,16,274.2287541818182,3.763782870544149
25,17,293.0098193636364,3.145850685520798
25,18,314.17923336363634,2.880128494600766
25,19,331.6763869090909,2.2516288943283986
25,20,351.7498461818182,2.075502366260805
25,21,365.97572390909096,1.5381098026175795
25,22,382.9353812727273,1.2698564826422096
25,23,396.7185893636363,1.062011334686432
25,24,412.848623909091,1.183820907281625
25,25,424.9322067272727,1.1266175400625662
25,26,439.08954754545454,1.3811694485058872
25,27,449.4353459090909,1.416037559833728
25,28,462.13177645454556,1.6837182339814107
25,29,470.79289863636365,1.5599501227783072
25,30,481.54669063636373,1.673254019258995
25,31,488.8234232727273,1.7523252292077653
25,32,498.11876881818176,2.040161994094935
25,33,504.1083247272727,1.9291624099416171
25,34,512.2829036363636,2.008522236271768
25,35,517.3694559090909,2.0608800878478353
25,36,524.7740801818182,2.2111282919479076
25,37,529.3558733636364,2.3690735201380333
25,38,536.4278674545454,2.4688493990226306
25,39,540.5780513636363,2.575143808197518
25,40,547.1317589090909,2.6595029352003023
25,41,550.3072780000001,2.9019712932322475
25,42,555.9010124545454,3.096952517217741
25,43,558.6705852727272,3.3077220432915997
25,44,563.929675909091,3.4493468249688624
25,45,566.5093680909091,3.646817945418185
25,46,571.1831500909091,3.930712970051543
25,47,573.0370749090908,4.168052973777248
25,48,576.8967782727273,4.52448546021897
25,49,578.157607,4.79992444460995
25,50,581.6207420000001,5.120299417232506
25,51,582.0830726363637,5.339836096833171
25,52,584.3946299999999,5.68083795887055
25,53,584.5041164545454,5.895374681965552
25,54,586.2186635454547,6.231179715073484
25,55,586.1296373636364,6.442475211481992
25,56,587.6224862727272,6.785372283728516
25,57,587.1770812727273,6.997583529698321
25,58,588.3104894545455,7.408102203732384
25,59,587.34754,7.639663399506205
25,60,587.9755932727272,8.074544743536718
25,61,586.5396497272727,8.207056674486767
26,16,272.527571,4.179500639812711
26,17,292.1235293636364,3.5624498130151516
26,18,314.29658209090917,3.137150055976036
26,19,332.5983029090909,2.6543917554440757
26,20,353.7192207272728,2.2801942614092727
26,21,368.68851072727267,1.8803091987499867
26,22,386.5240358181818,1.5624651808139558
26,23,400.8539038181818,1.5177909601734907
26,24,417.85955318181817,1.599434786464125
26,25,430.72249563636365,1.3572271951074488
26,26,446.06196754545454,1.8954226473725682
26,27,457.1628324545455,1.7190742438080633
26,28,470.864222,1.9028151935212239
26,29,480.07626,1.7885049379300484
26,30,491.5239081818181,1.9802355989469917
26,31,499.3335834545455,1.9468872440745242
26,32,509.4140548181818,2.1843611022176006
26,33,516.0365213636363,1.9813934559241708
26,34,524.9511372727272,2.034422087415177
26,35,530.643308,1.9983524644454593
26,36,538.7571258181819,2.128162117481964
26,37,543.9275533636363,2.1913529742193174
26,38,551.6511623636363,2.2134632467410573
26,39,556.3693395454546,2.258815910975938
26,40,563.5774923636362,2.3022454791550064
26,41,567.3372512727274,2.533983365310406
26,42,573.5624004545454,2.720282155861051
26,43,576.8171461818182,2.879742725539409
26,44,582.5302203636364,3.0475478962860576
26,45,585.6087546363638,3.2517962939533427
26,46,590.9785640000001,3.5135893229596857
26,47,593.3298893636364,3.7397144247546112
26,48,597.846637090909,4.064157813370372
26,49,599.6609801818181,4.362053684489268
26,50,603.6301289999999,4.771652011899078
26,51,604.4962715454545,4.892967663295423
26,52,607.2056462727273,5.198224141893952
26,53,607.6488894545455,5.42586890790656
26,54,609.8078380000002,5.752631984824115
26,55,609.931433,5.999056134777741
26,56,611.8310615454545,6.31812949904656
26,57,611.6439914545455,6.530879313555298
26,58,613.0773348181818,6.93262957344345
26,59,612.2824623636366,7.185205867918546
26,60,613.2657935454546,7.5491572021528395
26,61,612.0285546363637,7.693814217434593
26,62,612.6013422727273,8.012418418655235
27,17,287.48656454545454,3.897594559311866
27,18,310.45757809090907,3.4812323469194872
27,19,329.49294218181814,3.089236392492448
27,20,351.3924422727272,2.7603791874349715
27,21,367.29243536363634,2.150158067413612
27,22,385.8034716363636,1.7884501574996905
27,23,400.9196167272727,1.6655800417850894
27,24,418.4961124545454,1.5245654325482065
27,25,432.23503609090915,1.4343609723891977
27,26,448.34555881818176,1.7319079298001223
27,27,460.55595490909093,1.8727655005316421
27,28,475.21939945454545,1.9350921632227955
27,29,485.19876127272715,1.9062969744466924
27,30,497.27544663636365,1.9457225997090497
27,31,505.83761654545447,1.9778398171949094
27,32,516.5056482727273,2.1145845698764205
27,33,523.8002293636364,1.9525914913596714
27,34,533.3709146363636,1.913652765141481
27,35,539.8198349090909,1.9029518622094586
27,36,548.6574405454545,1.927873929946935
27,37,554.58511,2.016916564472056
27,38,562.8444725454546,2.059396529032301
27,39,568.2621711818182,2.0997435875763313
27,40,576.0631417272728,2.1154160607208325
27,41,580.4495165454546,2.3071157022117412
27,42,587.2719277272728,2.4356777412637887
27,43,591.1292872727273,2.609340516875019
27,44,597.4078529090909,2.7963480349472425
27,45,600.9253935454545,3.0249623013229545
27,46,606.8073752727273,3.259453964496695
27,47,609.8864083636364,3.5789496641542957
27,48,615.134761909091,3.8573326746961683
27,49,617.6177287272727,4.152270787429282
27,50,622.1437669999999,4.508153975238211
27,51,623.4045395454546,4.6490342752973595
27,52,626.5042333636363,4.939358521077163
27,53,627.3271180909089,5.182360428150195
27,54,629.8258067272727,5.48260823098994
27,55,630.3346594545454,5.7460790739997085
27,56,632.5461382727273,6.064727732154335
