N,Z,rate
148,64,9.57E-20
69,65,0.0175
70,65,0.728
71,65,22.8
72,65,596
73,65,12400
74,65,176000
75,65,1750000
76,65,1.23E+07
77,65,6.28E+07
78,65,2.37E+08
79,65,6.77E+08
80,65,1.50E+09
81,65,2.61E+09
82,65,4.15E+09
83,65,7.71E+09
84,65,1.25E+10
85,65,1.75E+10
86,65,2.06E+10
87,65,1.89E+10
88,65,1.36E+10
89,65,7.50E+09
90,65,3.59E+09
91,65,3.00E+09
92,65,2.40E+09
93,65,1.85E+09
94,65,1.35E+09
95,65,9.43E+08
96,65,6.18E+08
97,65,3.37E+08
98,65,1.78E+08
99,65,8.27E+07
100,65,3.28E+07
101,65,1.07E+07
102,65,2740000
103,65,414000
104,65,100000
105,65,18900
106,65,2630
107,65,148
108,65,30.8
109,65,5.31
110,65,0.733
111,65,0.172
112,65,0.0448
113,65,0.0111
114,65,0.00399
115,65,0.00138
116,65,0.000444
117,65,0.000131
118,65,3.49E-05
119,65,8.22E-06
120,65,1.68E-06
121,65,2.93E-07
122,65,4.31E-08
123,65,1.29E-08
124,65,6.84E-09
125,65,3.37E-09
126,65,1.85E-09
127,65,1.04E-09
128,65,5.68E-10
129,65,3.26E-10
130,65,1.85E-10
131,65,1.06E-10
132,65,6.16E-11
133,65,3.63E-11
134,65,2.10E-11
135,65,1.23E-11
136,65,6.95E-12
137,65,3.76E-12
138,65,1.76E-12
139,65,8.19E-13
140,65,3.52E-13
141,65,1.27E-13
142,65,4.32E-14
143,65,1.11E-14
144,65,2.84E-15
146,65,8.22E-17
148,65,1.40E-19
66,66,5.43E-09
67,66,1.49E-07
68,66,3.97E-06
69,66,0.000103
70,66,0.00415
71,66,0.194
72,66,6.67
73,66,163
74,66,3460
75,66,57500
76,66,663000
77,66,5380000
78,66,3.13E+07
79,66,1.33E+08
80,66,4.22E+08
81,66,1.02E+09
82,66,1.92E+09
83,66,3.22E+09
84,66,4.65E+09
85,66,6.90E+09
86,66,8.85E+09
87,66,1.43E+10
88,66,2.09E+10
89,66,2.46E+10
90,66,1.27E+13
91,66,5.99E+09
92,66,5.66E+09
93,66,5.10E+09
94,66,4.39E+09
95,66,3.61E+09
96,66,2.83E+09
97,66,2.08E+09
98,66,1.43E+09
99,66,7.99E+08
100,66,4.27E+08
101,66,1.96E+08
102,66,7.40E+07
103,66,5880000
104,66,1790000
105,66,433000
106,66,79300
107,66,2340
108,66,540
109,66,103
110,66,15.8
111,66,3.19
112,66,0.826
113,66,0.195
114,66,0.0415
115,66,0.0116
116,66,0.00346
117,66,0.000962
118,66,0.000245
119,66,5.58E-05
120,66,1.12E-05
121,66,1.92E-06
122,66,2.80E-07
123,66,8.36E-08
124,66,4.14E-08
125,66,2.09E-08
126,66,9.79E-09
127,66,5.12E-09
128,66,2.64E-09
129,66,1.39E-09
130,66,7.32E-10
131,66,3.89E-10
132,66,2.07E-10
133,66,1.09E-10
134,66,5.96E-11
135,66,3.20E-11
136,66,1.67E-11
137,66,8.42E-12
138,66,4.06E-12
139,66,1.63E-12
140,66,6.67E-13
141,66,2.33E-13
142,66,7.58E-14
143,66,1.93E-14
144,66,4.72E-15
146,66,1.33E-16
148,66,2.15E-19
71,67,0.000925
72,67,0.0488
73,67,1.85
74,67,49.7
75,67,1050
76,67,18700
77,67,233000
78,67,2080000
79,67,1.36E+07
80,67,6.69E+07
81,67,2.42E+08
82,67,6.65E+08
83,67,1.40E+09
84,67,2.45E+09
85,67,3.73E+09
86,67,5.32E+09
87,67,7.45E+09
88,67,1.08E+10
89,67,1.37E+10
90,67,1.48E+10
91,67,1.28E+10
92,67,9.00E+09
93,67,8.21E+09
94,67,8.92E+09
95,67,9.04E+09
96,67,8.69E+09
97,67,7.97E+09
98,67,6.95E+09
99,67,5.70E+09
100,67,4.36E+09
101,67,2.69E+09
102,67,1.59E+09
103,67,7.23E+07
104,67,2.86E+07
105,67,9310000
106,67,2380000
107,67,32000
108,67,8340
109,67,1810
110,67,314
111,67,57.4
112,67,15.9
113,67,3.96
114,67,0.877
115,67,0.169
116,67,0.0364
117,67,0.00908
118,67,0.0021
119,67,0.000442
120,67,8.34E-05
121,67,1.38E-05
122,67,2.00E-06
123,67,6.39E-07
124,67,2.97E-07
125,67,1.42E-07
126,67,6.86E-08
127,67,3.41E-08
128,67,1.56E-08
129,67,7.79E-09
130,67,3.84E-09
131,67,1.90E-09
132,67,9.46E-10
133,67,4.67E-10
134,67,2.30E-10
135,67,1.12E-10
136,67,5.36E-11
137,67,2.48E-11
138,67,1.10E-11
139,67,4.50E-12
140,67,1.55E-12
141,67,5.24E-13
142,67,1.60E-13
143,67,4.05E-14
144,67,9.30E-15
145,67,1.65E-15
146,67,2.50E-16
147,67,1.36E-17
148,67,3.60E-19
68,68,2.99E-10
69,68,8.38E-09
70,68,2.28E-07
71,68,6.01E-06
72,68,0.000195
73,68,0.0116
74,68,0.483
75,68,14.3
76,68,305
77,68,5430
78,68,79100
79,68,817000
80,68,6060000
81,68,3.30E+07
82,68,1.44E+08
83,68,4.60E+08
84,68,1.09E+09
85,68,1.97E+09
86,68,2.92E+09
87,68,4.15E+09
88,68,6.01E+09
89,68,7.98E+09
90,68,1.06E+10
91,68,1.66E+10
92,68,2.26E+10
93,68,2.54E+10
94,68,1.45E+13
95,68,8.47E+09
96,68,1.06E+10
97,68,1.29E+10
98,68,1.52E+10
99,68,1.73E+10
100,68,1.85E+10
101,68,1.89E+10
102,68,1.49E+13
103,68,7.23E+08
104,68,3.85E+08
105,68,1.77E+08
106,68,6.72E+07
107,68,674000
108,68,115000
109,68,28700
110,68,5820
111,68,907
112,68,267
113,68,72.5
114,68,17.4
115,68,3.62
116,68,0.638
117,68,0.137
118,68,0.0291
119,68,0.00551
120,68,0.000931
121,68,0.000139
122,68,1.86E-05
123,68,5.07E-06
124,68,2.35E-06
125,68,1.09E-06
126,68,5.13E-07
127,68,2.46E-07
128,68,1.18E-07
129,68,5.71E-08
130,68,2.55E-08
131,68,1.22E-08
132,68,5.86E-09
133,68,2.76E-09
134,68,1.27E-09
135,68,5.85E-10
136,68,2.59E-10
137,68,1.11E-10
138,68,4.48E-11
139,68,1.71E-11
140,68,5.98E-12
141,68,1.71E-12
142,68,4.84E-13
143,68,1.18E-13
144,68,2.52E-14
145,68,4.32E-15
146,68,6.09E-16
147,68,3.02E-17
148,68,6.87E-19
75,69,0.119
76,69,3.86
77,69,90.7
78,69,1560
79,69,24500
80,69,275000
81,69,2330000
82,69,1.58E+07
83,69,7.73E+07
84,69,2.79E+08
85,69,7.55E+08
86,69,1.56E+09
87,69,2.53E+09
88,69,3.29E+09
89,69,4.72E+09
90,69,5.99E+09
91,69,8.88E+09
92,69,1.19E+10
93,69,1.40E+10
94,69,1.39E+10
95,69,1.16E+10
96,69,8.07E+09
97,69,8.24E+09
98,69,8.70E+09
99,69,8.66E+09
100,69,8.25E+09
101,69,7.51E+09
102,69,6.52E+09
103,69,5.34E+09
104,69,3.73E+09
105,69,2.50E+09
106,69,1.49E+09
107,69,1.49E+07
108,69,1410000
109,69,419000
110,69,102000
111,69,19500
112,69,3760
113,69,1120
114,69,298
115,69,68.2
116,69,13.2
117,69,2.63
118,69,0.566
119,69,0.107
120,69,0.0172
121,69,0.00238
122,69,0.000279
123,69,4.11E-05
124,69,1.89E-05
125,69,8.85E-06
126,69,4.14E-06
127,69,1.96E-06
128,69,9.37E-07
129,69,4.47E-07
130,69,2.13E-07
131,69,9.50E-08
132,69,4.48E-08
133,69,2.06E-08
134,69,9.31E-09
135,69,4.11E-09
136,69,1.74E-09
137,69,7.05E-10
138,69,2.71E-10
139,69,9.62E-11
140,69,3.15E-11
141,69,9.22E-12
142,69,2.18E-12
143,69,4.90E-13
144,69,9.52E-14
145,69,1.53E-14
146,69,1.93E-15
147,69,8.68E-17
148,69,1.62E-18
70,70,1.42E-11
71,70,4.05E-10
72,70,1.13E-08
73,70,3.03E-07
74,70,8.34E-06
75,70,0.000424
76,70,0.0273
77,70,0.973
78,70,25.1
79,70,478
80,70,6760
81,70,81700
82,70,851000
83,70,6400000
84,70,3.53E+07
85,70,1.45E+08
86,70,4.48E+08
87,70,1.07E+09
88,70,2.02E+09
89,70,3.06E+09
90,70,3.80E+09
91,70,5.00E+09
92,70,6.85E+09
93,70,8.35E+09
94,70,1.20E+10
95,70,1.75E+10
96,70,2.27E+10
97,70,2.44E+10
98,70,1.52E+13
99,70,8.73E+09
100,70,1.08E+10
101,70,1.28E+10
102,70,1.49E+10
103,70,1.67E+10
104,70,1.78E+10
105,70,1.81E+10
106,70,1.57E+13
107,70,1.81E+08
108,70,1.53E+07
109,70,5570000
110,70,1690000
111,70,412000
112,70,75900
113,70,14600
114,70,4320
115,70,1110
116,70,240
117,70,47.6
118,70,11.1
119,70,2.23
120,70,0.38
121,70,0.0536
122,70,0.00615
123,70,0.000575
124,70,0.000152
125,70,7.12E-05
126,70,3.38E-05
127,70,1.61E-05
128,70,7.68E-06
129,70,3.68E-06
130,70,1.75E-06
131,70,8.32E-07
132,70,3.87E-07
133,70,1.68E-07
134,70,7.49E-08
135,70,3.23E-08
136,70,1.33E-08
137,70,5.21E-09
138,70,1.91E-09
139,70,6.44E-10
140,70,1.97E-10
141,70,5.43E-11
142,70,1.31E-11
143,70,2.47E-12
144,70,4.34E-13
145,70,6.36E-14
146,70,7.25E-15
147,70,3.00E-16
148,70,4.76E-18
75,71,2.06E-06
76,71,9.47E-05
77,71,0.00512
78,71,0.197
79,71,5.52
80,71,114
81,71,1760
82,71,22100
83,71,259000
84,71,2270000
85,71,1.46E+07
86,71,6.87E+07
87,71,2.42E+08
88,71,6.51E+08
89,71,1.36E+09
90,71,2.41E+09
91,71,3.53E+09
92,71,4.35E+09
93,71,5.25E+09
94,71,6.91E+09
95,71,9.58E+09
96,71,1.20E+10
97,71,1.33E+10
98,71,1.25E+10
99,71,1.01E+10
100,71,6.98E+09
101,71,3.94E+09
102,71,2.04E+09
103,71,1.55E+09
104,71,1.12E+09
105,71,7.71E+08
106,71,4.96E+08
107,71,2.95E+08
108,71,1.60E+08
109,71,6.55E+07
110,71,2.58E+07
111,71,8420000
112,71,2160000
113,71,160000
114,71,53400
115,71,15500
116,71,3840
117,71,783
118,71,190
119,71,42.2
120,71,7.89
121,71,1.21
122,71,0.148
123,71,0.0141
124,71,0.00122
125,71,0.000556
126,71,0.000266
127,71,0.000129
128,71,6.19E-05
129,71,2.98E-05
130,71,1.43E-05
131,71,6.73E-06
132,71,3.12E-06
133,71,1.42E-06
134,71,5.98E-07
135,71,2.53E-07
136,71,1.01E-07
137,71,3.82E-08
138,71,1.34E-08
139,71,4.34E-09
140,71,1.26E-09
141,71,3.25E-10
142,71,7.27E-11
143,71,1.40E-11
144,71,2.08E-12
145,71,2.78E-13
146,71,2.93E-14
147,71,1.13E-15
148,71,1.62E-17
72,72,6.41E-13
73,72,1.76E-11
74,72,4.87E-10
75,72,1.43E-08
76,72,4.86E-07
77,72,1.97E-05
78,72,0.00116
79,72,0.0489
80,72,1.5
81,72,34.2
82,72,582
83,72,7530
84,72,74600
85,72,631000
86,72,4430000
87,72,2.32E+07
88,72,1.19E+08
89,72,3.65E+08
90,72,8.76E+08
91,72,1.68E+09
92,72,2.67E+09
93,72,3.92E+09
94,72,4.94E+09
95,72,5.57E+09
96,72,7.04E+09
97,72,8.15E+09
98,72,1.24E+10
99,72,1.72E+10
100,72,2.14E+10
101,72,2.23E+10
102,72,1.57E+13
103,72,3.43E+09
104,72,2.89E+09
105,72,2.32E+09
106,72,2.30E+09
107,72,1.67E+09
108,72,1.12E+09
109,72,6.91E+08
110,72,3.81E+08
111,72,1.55E+08
112,72,5.88E+07
113,72,1490000
114,72,566000
115,72,189000
116,72,54300
117,72,13000
118,72,2780
119,72,692
120,72,145
121,72,25
122,72,3.41
123,72,0.357
124,72,0.0275
125,72,0.00428
126,72,0.002
127,72,0.000971
128,72,0.000473
129,72,0.000229
130,72,0.00011
131,72,5.17E-05
132,72,2.39E-05
133,72,1.07E-05
134,72,4.61E-06
135,72,1.90E-06
136,72,7.22E-07
137,72,2.64E-07
138,72,8.91E-08
139,72,2.73E-08
140,72,7.54E-09
141,72,1.83E-09
142,72,3.86E-10
143,72,7.00E-11
144,72,1.06E-11
145,72,1.22E-12
146,72,1.19E-13
147,72,4.44E-15
148,72,5.88E-17
77,73,1.09E-07
78,73,4.32E-06
79,73,0.000241
80,73,0.0111
81,73,0.376
82,73,9.43
83,73,178
84,73,2550
85,73,28100
86,73,240000
87,73,1760000
88,73,1.07E+07
89,73,4.85E+07
90,73,1.67E+08
91,73,4.42E+08
92,73,9.21E+08
93,73,1.60E+09
94,73,2.38E+09
95,73,3.38E+09
96,73,4.43E+09
97,73,5.10E+09
98,73,5.99E+09
99,73,7.70E+09
100,73,9.01E+09
101,73,9.31E+09
102,73,8.35E+09
103,73,6.66E+09
104,73,6.91E+09
105,73,6.78E+09
106,73,6.35E+09
107,73,5.69E+09
108,73,4.84E+09
109,73,3.88E+09
110,73,2.89E+09
111,73,1.97E+09
112,73,1.20E+09
113,73,1.20E+07
114,73,4500000
115,73,1750000
116,73,590000
117,73,168000
118,73,38900
119,73,7740
120,73,1850
121,73,467
122,73,73.3
123,73,8.81
124,73,0.772
125,73,0.0386
126,73,0.0115
127,73,0.0054
128,73,0.00262
129,73,0.00163
130,73,0.000781
131,73,0.000367
132,73,0.000168
133,73,7.41E-05
134,73,3.14E-05
135,73,1.26E-05
136,73,4.80E-06
137,73,1.66E-06
138,73,5.41E-07
139,73,1.59E-07
140,73,4.17E-08
141,73,9.67E-09
142,73,1.94E-09
143,73,3.33E-10
144,73,4.77E-11
145,73,5.63E-12
146,73,4.82E-13
147,73,1.74E-14
148,73,2.21E-16
75,74,9.30E-13
76,74,2.57E-11
77,74,7.36E-10
78,74,2.33E-08
79,74,8.89E-07
80,74,4.55E-05
81,74,0.00231
82,74,0.0859
83,74,2.38
84,74,49.8
85,74,795
86,74,9780
87,74,93300
88,74,693000
89,74,4410000
90,74,2.24E+07
91,74,8.76E+07
92,74,2.66E+08
93,74,6.37E+08
94,74,1.23E+09
95,74,1.93E+09
96,74,2.84E+09
97,74,3.68E+09
98,74,5.25E+09
99,74,6.63E+09
100,74,7.42E+09
101,74,7.58E+09
102,74,1.08E+10
103,74,1.42E+10
104,74,1.69E+10
105,74,1.69E+10
106,74,1.31E+13
107,74,1.09E+10
108,74,1.25E+10
109,74,1.38E+10
110,74,1.44E+10
111,74,1.44E+10
112,74,1.38E+13
113,74,1.45E+08
114,74,3.99E+07
115,74,1.85E+07
116,74,7570000
117,74,2660000
118,74,780000
119,74,183000
120,74,32700
121,74,7060
122,74,1310
123,74,186
124,74,19.4
125,74,0.613
126,74,0.0894
127,74,0.0421
128,74,0.0198
129,74,0.0095
130,74,0.0045
131,74,0.00209
132,74,0.000938
133,74,0.000406
134,74,0.000167
135,74,6.55E-05
136,74,2.40E-05
137,74,8.15E-06
138,74,2.54E-06
139,74,7.08E-07
140,74,1.78E-07
141,74,3.93E-08
142,74,7.54E-09
143,74,1.23E-09
144,74,1.69E-10
145,74,1.90E-11
146,74,1.67E-12
147,74,5.47E-14
148,74,6.76E-16
79,75,4.78E-09
80,75,1.72E-07
81,75,7.74E-06
82,75,0.000431
83,75,0.0177
84,75,0.544
85,75,12.7
86,75,226
87,75,3120
88,75,33300
89,75,278000
90,75,1810000
91,75,9900000
92,75,4.19E+07
93,75,1.38E+08
94,75,3.64E+08
95,75,8.15E+08
96,75,1.50E+09
97,75,2.31E+09
98,75,3.18E+09
99,75,4.32E+09
100,75,5.35E+09
101,75,7.76E+09
102,75,1.00E+10
103,75,1.15E+10
104,75,1.08E+10
105,75,8.59E+09
106,75,5.65E+09
107,75,2.95E+09
108,75,2.22E+09
109,75,1.79E+09
110,75,1.39E+09
111,75,1.03E+09
112,75,7.33E+08
113,75,4.93E+08
114,75,3.11E+08
115,75,1.81E+08
116,75,8.35E+07
117,75,3.74E+07
118,75,1.44E+07
119,75,4570000
120,75,1150000
121,75,126000
122,75,28700
123,75,5090
124,75,669
125,75,13.1
126,75,1.18
127,75,0.317
128,75,0.146
129,75,0.0674
130,75,0.0313
131,75,0.0143
132,75,0.00632
133,75,0.00269
134,75,0.00109
135,75,0.000415
136,75,0.000148
137,75,4.89E-05
138,75,1.48E-05
139,75,4.02E-06
140,75,9.77E-07
141,75,2.09E-07
142,75,3.89E-08
143,75,6.17E-09
144,75,8.21E-10
145,75,9.01E-11
146,75,7.76E-12
147,75,2.63E-13
148,75,3.04E-15
78,76,1.13E-12
79,76,3.17E-11
80,76,9.40E-10
81,76,3.17E-08
82,76,1.24E-06
83,76,7.21E-05
84,76,0.00328
85,76,0.112
86,76,2.93
87,76,58.6
88,76,905
89,76,10900
90,76,102000
91,76,748000
92,76,4300000
93,76,1.93E+07
94,76,6.95E+07
95,76,2.05E+08
96,76,4.87E+08
97,76,9.52E+08
98,76,1.68E+09
99,76,2.60E+09
100,76,3.49E+09
101,76,4.69E+09
102,76,6.19E+09
103,76,7.31E+09
104,76,1.05E+10
105,76,1.51E+10
106,76,1.90E+10
107,76,1.94E+10
108,76,1.46E+13
109,76,4.33E+09
110,76,3.89E+09
111,76,3.36E+09
112,76,2.79E+09
113,76,2.22E+09
114,76,1.67E+09
115,76,1.19E+09
116,76,7.88E+08
117,76,4.78E+08
118,76,2.25E+08
119,76,1.01E+08
120,76,3.83E+07
121,76,2070000
122,76,595000
123,76,137000
124,76,24100
125,76,286
126,76,30.6
127,76,2.53
128,76,1.09
129,76,0.482
130,76,0.213
131,76,0.0937
132,76,0.0402
133,76,0.0167
134,76,0.00657
135,76,0.00245
136,76,0.000851
137,76,0.000274
138,76,8.06E-05
139,76,2.15E-05
140,76,5.12E-06
141,76,1.08E-06
142,76,1.96E-07
143,76,3.06E-08
144,76,4.03E-09
145,76,4.39E-10
146,76,3.77E-11
147,76,1.25E-12
148,76,1.47E-14
83,77,2.04E-07
84,77,1.16E-05
85,77,0.000545
86,77,0.0208
87,77,0.61
88,77,13.7
89,77,239
90,77,3230
91,77,33800
92,77,272000
93,77,1700000
94,77,8340000
95,77,3.25E+07
96,77,1.02E+08
97,77,2.63E+08
98,77,5.80E+08
99,77,1.09E+09
100,77,1.73E+09
101,77,2.71E+09
102,77,3.82E+09
103,77,4.79E+09
104,77,6.38E+09
105,77,8.67E+09
106,77,1.06E+10
107,77,1.14E+10
108,77,1.04E+10
109,77,8.03E+09
110,77,6.50E+09
111,77,6.87E+09
112,77,6.87E+09
113,77,6.60E+09
114,77,6.10E+09
115,77,5.40E+09
116,77,4.55E+09
117,77,3.63E+09
118,77,2.70E+09
119,77,1.85E+09
120,77,9.85E+08
121,77,2.98E+07
122,77,1.13E+07
123,77,3560000
124,77,889000
125,77,8940
126,77,866
127,77,22.2
128,77,9
129,77,3.72
130,77,1.55
131,77,0.641
132,77,0.261
133,77,0.103
134,77,0.0392
135,77,0.0141
136,77,0.00474
137,77,0.00148
138,77,0.000426
139,77,0.000111
140,77,2.62E-05
141,77,5.44E-06
142,77,9.86E-07
143,77,1.54E-07
144,77,2.04E-08
145,77,2.25E-09
146,77,1.97E-10
147,77,6.34E-12
148,77,7.31E-14
80,78,3.99E-14
81,78,1.12E-12
82,78,3.21E-11
83,78,9.68E-10
84,78,3.24E-08
85,78,2.05E-06
86,78,0.000105
87,78,0.00389
88,78,0.115
89,78,2.91
90,78,56.7
91,78,835
92,78,9380
93,78,81500
94,78,553000
95,78,2980000
96,78,1.28E+07
97,78,4.49E+07
98,78,1.29E+08
99,78,3.10E+08
100,78,6.27E+08
101,78,1.12E+09
102,78,1.79E+09
103,78,2.50E+09
104,78,3.77E+09
105,78,5.19E+09
106,78,6.42E+09
107,78,7.40E+09
108,78,1.12E+10
109,78,1.54E+10
110,78,1.88E+10
111,78,1.86E+10
112,78,1.56E+13
113,78,7.89E+09
114,78,9.38E+09
115,78,1.08E+10
116,78,1.22E+10
117,78,1.32E+10
118,78,1.36E+10
119,78,1.35E+10
120,78,1.58E+13
121,78,3.92E+08
122,78,1.82E+08
123,78,8.18E+07
124,78,3.08E+07
125,78,309000
126,78,26700
127,78,270
128,78,81.1
129,78,32.8
130,78,13
131,78,5.1
132,78,1.96
133,78,0.729
134,78,0.261
135,78,0.0888
136,78,0.0285
137,78,0.00854
138,78,0.00237
139,78,0.000601
140,78,0.000138
141,78,2.83E-05
142,78,5.12E-06
143,78,8.06E-07
144,78,1.09E-07
145,78,1.24E-08
146,78,1.13E-09
147,78,3.54E-11
148,78,3.98E-13
85,79,5.03E-09
86,79,3.37E-07
87,79,1.87E-05
88,79,0.000754
89,79,0.0224
90,79,0.53
91,79,11
92,79,172
93,79,2080
94,79,19500
95,79,144000
96,79,852000
97,79,4060000
98,79,1.59E+07
99,79,5.12E+07
100,79,1.38E+08
101,79,3.17E+08
102,79,6.24E+08
103,79,1.06E+09
104,79,1.67E+09
105,79,2.44E+09
106,79,3.20E+09
107,79,4.67E+09
108,79,6.63E+09
109,79,8.57E+09
110,79,1.00E+10
111,79,1.02E+10
112,79,8.99E+09
113,79,6.85E+09
114,79,5.76E+09
115,79,5.95E+09
116,79,5.89E+09
117,79,5.61E+09
118,79,5.15E+09
119,79,4.53E+09
120,79,3.81E+09
121,79,3.02E+09
122,79,2.25E+09
123,79,1.38E+09
124,79,8.14E+08
125,79,8140000
126,79,873000
127,79,8780
128,79,721
129,79,297
130,79,120
131,79,46.5
132,79,17.6
133,79,6.37
134,79,2.2
135,79,0.719
136,79,0.22
137,79,0.0626
138,79,0.0165
139,79,0.00396
140,79,0.000865
141,79,0.00017
142,79,3.01E-05
143,79,4.70E-06
144,79,6.46E-07
145,79,7.67E-08
146,79,7.34E-09
147,79,2.22E-10
148,79,2.43E-12
80,80,1.46E-18
81,80,3.99E-17
82,80,1.10E-15
83,80,3.04E-14
84,80,8.48E-13
85,80,2.39E-11
86,80,7.27E-10
87,80,4.86E-08
88,80,2.87E-06
89,80,0.000123
90,80,0.00386
91,80,0.0916
92,80,1.66
93,80,27.4
94,80,356
95,80,3620
96,80,29200
97,80,189000
98,80,1000000
99,80,4340000
100,80,1.57E+07
101,80,4.78E+07
102,80,1.24E+08
103,80,2.77E+08
104,80,5.41E+08
105,80,9.32E+08
106,80,1.44E+09
107,80,2.08E+09
108,80,2.95E+09
109,80,3.83E+09
110,80,4.61E+09
111,80,7.30E+09
112,80,1.06E+10
113,80,1.41E+10
114,80,1.67E+10
115,80,1.61E+10
116,80,1.50E+13
117,80,6.91E+09
118,80,8.13E+09
119,80,9.32E+09
120,80,1.04E+10
121,80,1.11E+10
122,80,1.14E+10
123,80,1.13E+10
124,80,1.43E+13
125,80,1.12E+08
126,80,3.09E+07
127,80,310000
128,80,5830
129,80,2530
130,80,1060
131,80,432
132,80,168
133,80,62.6
134,80,22
135,80,7.24
136,80,2.21
137,80,0.624
138,80,0.16
139,80,0.0369
140,80,0.00763
141,80,0.00141
142,80,0.000232
143,80,3.42E-05
144,80,4.58E-06
145,80,5.52E-07
146,80,5.52E-08
147,80,1.60E-09
148,80,1.69E-11
89,81,4.71E-07
90,81,2.16E-05
91,81,0.000729
92,81,0.0186
93,81,0.362
94,81,5.53
95,81,67.8
96,81,679
97,81,5620
98,81,39000
99,81,226000
100,81,1090000
101,81,4400000
102,81,1.47E+07
103,81,4.10E+07
104,81,9.54E+07
105,81,1.97E+08
106,81,3.90E+08
107,81,6.93E+08
108,81,1.12E+09
109,81,1.64E+09
110,81,2.23E+09
111,81,3.15E+09
112,81,4.26E+09
113,81,5.38E+09
114,81,6.34E+09
115,81,6.97E+09
116,81,6.89E+09
117,81,6.27E+09
118,81,5.22E+09
119,81,4.77E+09
120,81,4.38E+09
121,81,3.85E+09
122,81,3.20E+09
123,81,2.51E+09
124,81,1.83E+09
125,81,1.22E+09
126,81,7.25E+08
127,81,7270000
128,81,45600
129,81,18800
130,81,8440
131,81,3630
132,81,1500
133,81,588
134,81,218
135,81,75.4
136,81,24.2
137,81,7.05
138,81,1.87
139,81,0.438
140,81,0.0906
141,81,0.0163
142,81,0.00254
143,81,0.000345
144,81,4.25E-05
145,81,4.88E-06
146,81,4.95E-07
147,81,1.34E-08
148,81,1.35E-10
84,82,3.46E-17
85,82,9.58E-16
86,82,2.64E-14
87,82,7.01E-13
88,82,1.95E-11
89,82,1.42E-09
90,82,9.08E-08
91,82,4.49E-06
92,82,0.000164
93,82,0.00451
94,82,0.0948
95,82,1.56
96,82,20.6
97,82,223
98,82,2010
99,82,15100
100,82,96200
101,82,514000
102,82,2300000
103,82,8580000
104,82,2.67E+07
105,82,6.93E+07
106,82,1.51E+08
107,82,2.76E+08
108,82,4.26E+08
109,82,5.57E+08
110,82,6.29E+08
111,82,7.83E+08
112,82,1.13E+09
113,82,1.89E+09
114,82,2.45E+09
115,82,3.05E+09
116,82,4.27E+09
117,82,5.65E+09
118,82,8.94E+09
119,82,1.06E+10
120,82,1.14E+10
121,82,1.08E+10
122,82,1.23E+13
123,82,7.38E+09
124,82,7.53E+09
125,82,7.36E+09
126,82,9.72E+12
127,82,7.39E+07
128,82,240000
129,82,121000
130,82,59800
131,82,24500
132,82,10800
133,82,4530
134,82,1790
135,82,661
136,82,226
137,82,70.2
138,82,19.7
139,82,4.89
140,82,1.06
141,82,0.197
142,82,0.0309
143,82,0.00408
144,82,0.000466
145,82,4.89E-05
146,82,4.76E-06
147,82,1.16E-07
148,82,1.09E-09
99,83,647
100,83,5320
101,83,37100
102,83,219000
103,83,1090000
104,83,4520000
105,83,1.57E+07
106,83,4.57E+07
107,83,1.11E+08
108,83,2.27E+08
109,83,3.89E+08
110,83,5.67E+08
111,83,7.10E+08
112,83,7.74E+08
113,83,7.37E+08
114,83,7.48E+08
115,83,1.12E+09
116,83,1.61E+09
117,83,2.22E+09
118,83,2.94E+09
119,83,3.74E+09
120,83,4.60E+09
121,83,5.44E+09
122,83,6.21E+09
123,83,6.74E+09
124,83,6.81E+09
125,83,6.47E+09
126,83,8.22E+12
127,83,6.59E+07
128,83,1250000
129,83,665000
130,83,346000
131,83,174000
132,83,84400
133,83,33600
134,83,14200
135,83,5610
136,83,2060
137,83,687
138,83,255
139,83,68.6
140,83,16.1
141,83,3.22
142,83,0.54
143,83,0.0742
144,83,0.00846
145,83,0.000838
146,83,7.66E-05
147,83,1.66E-06
148,83,1.40E-08
91,84,3.48E-11
92,84,2.46E-09
93,84,1.39E-07
94,84,5.91E-06
95,84,0.00019
96,84,0.00467
97,84,0.09
98,84,1.39
99,84,17.6
100,84,186
101,84,1670
102,84,12800
103,84,83500
104,84,461000
105,84,2140000
106,84,8340000
107,84,2.71E+07
108,84,7.31E+07
109,84,1.65E+08
110,84,3.13E+08
111,84,5.08E+08
112,84,7.09E+08
113,84,8.63E+08
114,84,9.31E+08
115,84,8.82E+08
116,84,7.63E+08
117,84,6.20E+08
118,84,4.80E+08
119,84,3.56E+08
120,84,2.55E+08
121,84,1.78E+08
122,84,1.20E+08
123,84,8.04E+07
124,84,8.13E+07
125,84,7.75E+07
126,84,2.01E+07
127,84,1.22E+07
128,84,7170000
129,84,4120000
130,84,2300000
131,84,1240000
132,84,646000
133,84,321000
134,84,152000
135,84,58300
136,84,23300
137,84,8530
138,84,2830
139,84,833
140,84,214
141,84,47.1
142,84,8.63
143,84,1.29
144,84,0.155
145,84,0.0154
146,84,0.00133
147,84,2.46E-05
148,84,1.81E-07
96,85,3.19E-05
97,85,0.000849
98,85,0.0178
99,85,0.297
100,85,4.09
101,85,47.1
102,85,463
103,85,3910
104,85,28300
105,85,174000
106,85,901000
107,85,3870000
108,85,1.38E+07
109,85,4.10E+07
110,85,1.02E+08
111,85,2.17E+08
112,85,3.92E+08
