N,Z,rate
34,24,1.73E+09
35,24,3.68E+08
36,24,5.35E+07
37,24,5910000
38,24,980000
39,24,170000
40,24,23900
41,24,3770
42,24,573
43,24,78.2
44,24,13.6
45,24,2.71
46,24,0.546
47,24,0.0924
48,24,0.0117
49,24,0.0039
50,24,0.00116
52,24,0.000115
54,24,6.11E-06
21,25,87000
22,25,2490000
23,25,7.26E+07
24,25,2.23E+09
25,25,3.68E+10
26,25,2.15E+11
27,25,4.80E+11
28,25,4.05E+11
29,25,2.72E+11
30,25,2.81E+11
31,25,1.97E+11
32,25,1.11E+11
33,25,5.21E+10
34,25,2.00E+10
35,25,4.86E+09
36,25,8.96E+08
37,25,1.02E+08
38,25,2.17E+07
39,25,4300000
40,25,842000
41,25,180000
42,25,34300
43,25,6840
44,25,435
45,25,59.9
46,25,10.5
47,25,1.71
48,25,0.198
49,25,0.0415
50,25,0.0121
51,25,0.00332
52,25,0.00111
53,25,0.000302
54,25,7.76E-05
56,25,4.29E-06
19,26,4.38
20,26,115
21,26,3230
22,26,93300
23,26,2790000
24,26,8.55E+07
25,26,2.78E+09
26,26,4.52E+10
27,26,2.71E+11
28,26,6.25E+11
29,26,4.72E+11
30,26,2.76E+11
31,26,3.70E+11
32,26,3.38E+11
33,26,2.33E+11
34,26,1.28E+11
35,26,5.35E+10
36,26,1.26E+10
37,26,1.21E+09
38,26,3.36E+08
39,26,8.62E+07
40,26,2.05E+07
41,26,4430000
42,26,828000
43,26,125000
44,26,13500
45,26,1710
46,26,283
47,26,39.5
48,26,4.26
49,26,0.41
50,26,0.13
51,26,0.0335
52,26,0.0101
53,26,0.00271
54,26,0.000695
56,26,5.21E-05
58,26,4.91E-06
23,27,105000
24,27,3260000
25,27,1.01E+08
26,27,3.20E+09
27,27,5.48E+10
28,27,3.70E+11
29,27,8.90E+11
30,27,4.26E+11
31,27,3.18E+11
32,27,4.06E+11
33,27,5.32E+11
34,27,4.97E+11
35,27,3.42E+11
36,27,1.64E+11
37,27,9.62E+09
38,27,3.52E+09
39,27,1.17E+09
40,27,3.55E+08
41,27,9.48E+07
42,27,2.13E+07
43,27,3770000
44,27,466000
45,27,63700
46,27,10600
47,27,1440
48,27,147
49,27,7.91
50,27,1.51
51,27,0.359
52,27,0.113
53,27,0.0271
54,27,0.00702
55,27,0.00191
56,27,0.000579
57,27,0.000197
58,27,5.75E-05
20,28,0.151
21,28,4.32
22,28,128
23,28,3890
24,28,118000
25,28,3530000
26,28,1.02E+08
27,28,2.92E+09
28,28,6.61E+10
29,28,6.02E+11
30,28,1.21E+14
31,28,4.39E+11
32,28,4.45E+11
33,28,2.97E+11
34,28,5.67E+11
35,28,8.75E+11
36,28,1.20E+14
37,28,4.90E+10
38,28,2.39E+10
39,28,1.04E+10
40,28,4.04E+09
41,28,1.37E+09
42,28,3.83E+08
43,28,8.31E+07
44,28,1.24E+07
45,28,2050000
46,28,388000
47,28,58400
48,28,9570
49,28,1660
50,28,361
51,28,7.82
52,28,2.65
53,28,0.267
54,28,0.124
55,28,0.0169
56,28,0.00483
57,28,0.00162
58,28,0.000514
26,29,662000
27,29,2.94E+07
28,29,6.65E+08
29,29,6.03E+09
30,29,4.12E+10
31,29,2.08E+11
32,29,5.41E+11
33,29,6.51E+11
34,29,2.56E+11
35,29,1.62E+11
36,29,1.84E+11
37,29,1.52E+11
38,29,1.00E+11
39,29,5.86E+10
40,29,3.00E+10
41,29,1.33E+10
42,29,4.86E+09
43,29,1.38E+09
44,29,2.71E+08
45,29,4.64E+07
46,29,1.06E+07
47,29,1870000
48,29,231000
49,29,45200
50,29,7640
51,29,586
52,29,77.2
53,29,8.79
54,29,0.733
55,29,0.183
56,29,0.0507
57,29,0.016
58,29,0.00497
60,29,0.000316
62,29,1.94E-05
64,29,2.35E-06
66,29,3.69E-07
68,29,1.11E-07
24,30,11.8
25,30,307
26,30,7900
27,30,196000
28,30,4530000
29,30,9.53E+07
30,30,1.94E+09
31,30,2.44E+10
32,30,1.76E+11
33,30,6.75E+11
34,30,1.13E+14
35,30,1.10E+11
36,30,1.47E+11
37,30,2.11E+11
38,30,2.32E+11
39,30,1.93E+11
40,30,1.38E+11
41,30,8.44E+10
42,30,4.33E+10
43,30,1.75E+10
44,30,5.08E+09
45,30,7.18E+08
46,30,2.04E+08
47,30,4.46E+07
48,30,6770000
49,30,287000
50,30,159000
51,30,9260
52,30,3040
53,30,319
54,30,16.4
55,30,3.07
56,30,0.495
57,30,0.146
58,30,0.0441
59,30,0.0119
60,30,0.00269
61,30,0.000626
62,30,0.000182
64,30,2.07E-05
66,30,2.67E-06
68,30,4.41E-07
70,30,1.20E-07
29,31,450000
30,31,1.83E+07
31,31,2.65E+08
32,31,4.25E+09
33,31,3.01E+10
34,31,9.94E+10
35,31,1.65E+11
36,31,1.42E+11
37,31,1.02E+11
38,31,1.86E+11
39,31,2.72E+11
40,31,3.29E+11
41,31,3.05E+11
42,31,2.40E+11
43,31,1.55E+11
44,31,7.70E+10
45,31,7.61E+09
46,31,2.81E+09
47,31,8.12E+08
48,31,1.65E+08
49,31,4210000
50,31,2770000
51,31,312000
52,31,124000
53,31,13500
54,31,807
55,31,142
56,31,9.88
57,31,2.7
58,31,0.888
59,31,0.116
60,31,0.0245
61,31,0.00578
62,31,0.0017
63,31,0.0006
64,31,0.000213
65,31,7.11E-05
66,31,2.42E-05
67,31,8.35E-06
68,31,2.94E-06
70,31,4.67E-07
72,31,1.45E-07
74,31,6.04E-08
27,32,12
28,32,319
29,32,8740
30,32,248000
31,32,7130000
32,32,2.21E+08
33,32,3.65E+09
34,32,2.74E+10
35,32,9.85E+10
36,32,1.83E+11
37,32,1.84E+11
38,32,1.09E+11
39,32,1.11E+11
40,32,1.92E+11
41,32,3.19E+11
42,32,4.52E+11
43,32,5.73E+11
44,32,1.06E+14
45,32,5.38E+10
46,32,2.76E+10
47,32,1.14E+10
48,32,3.43E+09
49,32,5.06E+07
50,32,1.96E+07
51,32,3810000
52,32,2420000
53,32,204000
54,32,41600
55,32,2270
